Store,Year,Promo,Sales,Quarter,Customers,Open,PromoFrequencyRatio,YearQuarter,prev1Quarter,prevQuarterChange
1,2015,37,345154,1,41502,76,0.4868421052631579,9,-61621.0,-128390.0
1,2014,31,345715,1,42177,76,0.4078947368421053,5,-41690.0,-73876.0
1,2013,35,398871,1,48662,75,0.4666666666666667,1,0.0,0.0
1,2015,35,325886,2,37429,72,0.4861111111111111,10,-19268.0,42353.0
1,2014,35,340912,2,40043,72,0.4861111111111111,6,-4803.0,36887.0
1,2013,35,349645,2,41914,73,0.4794520547945205,2,-49226.0,-49226.0
1,2015,13,121266,3,14024,27,0.4814814814814815,11,-204620.0,-185352.0
1,2014,36,340006,3,39971,79,0.4556962025316456,7,-906.0,3897.0
1,2013,35,355219,3,42156,79,0.4430379746835443,3,5574.0,54800.0
1,2015,0,0,4,0,0,,12,-121266.0,83354.0
1,2014,38,406775,4,46573,76,0.5,8,66769.0,67675.0
1,2013,30,387405,4,46072,76,0.3947368421052632,4,32186.0,26612.0
2,2015,37,376150,1,42853,76,0.4868421052631579,9,-32324.0,-58809.0
2,2014,31,361729,1,42707,76,0.4078947368421053,5,-37475.0,-53657.0
2,2013,35,356810,1,42146,75,0.4666666666666667,1,0.0,0.0
2,2015,35,369347,2,42376,73,0.4794520547945205,10,-6803.0,25521.0
2,2014,35,364240,2,43440,73,0.4794520547945205,6,2511.0,39986.0
2,2013,35,349128,2,42956,74,0.472972972972973,2,-7682.0,-7682.0
2,2015,13,133765,3,16773,27,0.4814814814814815,11,-235582.0,-228779.0
2,2014,36,381989,3,46489,79,0.4556962025316456,7,17749.0,15238.0
2,2013,35,383022,3,47283,79,0.4430379746835443,3,33894.0,41576.0
2,2015,0,0,4,0,0,,12,-133765.0,101817.0
2,2014,38,408474,4,45421,76,0.5,8,26485.0,8736.0
2,2013,30,399204,4,45411,76,0.3947368421052632,4,16182.0,-17712.0
3,2015,37,498167,1,53577,76,0.4868421052631579,9,-54002.0,-88776.0
3,2014,31,505744,1,55214,76,0.4078947368421053,5,-46480.0,-50686.0
3,2013,35,514999,1,56686,75,0.4666666666666667,1,0.0,0.0
3,2015,35,525345,2,54452,72,0.4861111111111111,10,27178.0,81180.0
3,2014,35,497641,2,54031,72,0.4861111111111111,6,-8103.0,38377.0
3,2013,35,513024,2,56606,73,0.4794520547945205,2,-1975.0,-1975.0
3,2015,13,183535,3,18438,27,0.4814814814814815,11,-341810.0,-368988.0
3,2014,36,517395,3,56287,79,0.4556962025316456,7,19754.0,27857.0
3,2013,35,548018,3,59376,79,0.4430379746835443,3,34994.0,36969.0
3,2015,0,0,4,0,0,,12,-183535.0,158275.0
3,2014,38,552169,4,59365,75,0.5066666666666667,8,34774.0,15020.0
3,2013,30,552224,4,60278,75,0.4,4,4206.0,-30788.0
4,2015,37,725237,1,99431,76,0.4868421052631579,9,-78119.0,-117211.0
4,2014,31,697671,1,98930,76,0.4078947368421053,5,-50895.0,-113552.0
4,2013,35,720700,1,101898,75,0.4666666666666667,1,0.0,0.0
4,2015,35,729679,2,96945,73,0.4794520547945205,10,4442.0,82561.0
4,2014,35,706698,2,96761,73,0.4794520547945205,6,9027.0,59922.0
4,2013,35,697492,2,95884,74,0.472972972972973,2,-23208.0,-23208.0
4,2015,13,276935,3,34945,27,0.4814814814814815,11,-452744.0,-457186.0
