Store,Year,Promo,Sales,Quarter,Customers,Open,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,PromoRatio,YearQuarter
1,2015,37,345154,1,41502,76,c,a,1270.0,9.0,2008.0,0,,,,0.4868421052631579,Y2015Q1
1,2014,31,345715,1,42177,76,c,a,1270.0,9.0,2008.0,0,,,,0.40789473684210525,Y2014Q1
1,2013,35,398871,1,48662,75,c,a,1270.0,9.0,2008.0,0,,,,0.4666666666666667,Y2013Q1
1,2015,35,325886,2,37429,72,c,a,1270.0,9.0,2008.0,0,,,,0.4861111111111111,Y2015Q2
1,2014,35,340912,2,40043,72,c,a,1270.0,9.0,2008.0,0,,,,0.4861111111111111,Y2014Q2
1,2013,35,349645,2,41914,73,c,a,1270.0,9.0,2008.0,0,,,,0.4794520547945205,Y2013Q2
1,2015,13,121266,3,14024,27,c,a,1270.0,9.0,2008.0,0,,,,0.48148148148148145,Y2015Q3
1,2014,36,340006,3,39971,79,c,a,1270.0,9.0,2008.0,0,,,,0.45569620253164556,Y2014Q3
1,2013,35,355219,3,42156,79,c,a,1270.0,9.0,2008.0,0,,,,0.4430379746835443,Y2013Q3
1,2015,0,0,4,0,0,c,a,1270.0,9.0,2008.0,0,,,,,Y2015Q4
1,2014,38,406775,4,46573,76,c,a,1270.0,9.0,2008.0,0,,,,0.5,Y2014Q4
1,2013,30,387405,4,46072,76,c,a,1270.0,9.0,2008.0,0,,,,0.39473684210526316,Y2013Q4
2,2015,37,376150,1,42853,76,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.4868421052631579,Y2015Q1
2,2014,31,361729,1,42707,76,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.40789473684210525,Y2014Q1
2,2013,35,356810,1,42146,75,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.4666666666666667,Y2013Q1
2,2015,35,369347,2,42376,73,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.4794520547945205,Y2015Q2
2,2014,35,364240,2,43440,73,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.4794520547945205,Y2014Q2
2,2013,35,349128,2,42956,74,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.47297297297297297,Y2013Q2
2,2015,13,133765,3,16773,27,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.48148148148148145,Y2015Q3
2,2014,36,381989,3,46489,79,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.45569620253164556,Y2014Q3
2,2013,35,383022,3,47283,79,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.4430379746835443,Y2013Q3
2,2015,0,0,4,0,0,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",,Y2015Q4
2,2014,38,408474,4,45421,76,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.5,Y2014Q4
2,2013,30,399204,4,45411,76,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",0.39473684210526316,Y2013Q4
3,2015,37,498167,1,53577,76,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.4868421052631579,Y2015Q1
3,2014,31,505744,1,55214,76,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.40789473684210525,Y2014Q1
3,2013,35,514999,1,56686,75,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.4666666666666667,Y2013Q1
3,2015,35,525345,2,54452,72,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.4861111111111111,Y2015Q2
3,2014,35,497641,2,54031,72,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.4861111111111111,Y2014Q2
3,2013,35,513024,2,56606,73,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.4794520547945205,Y2013Q2
3,2015,13,183535,3,18438,27,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.48148148148148145,Y2015Q3
3,2014,36,517395,3,56287,79,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.45569620253164556,Y2014Q3
3,2013,35,548018,3,59376,79,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.4430379746835443,Y2013Q3
3,2015,0,0,4,0,0,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",,Y2015Q4
3,2014,38,552169,4,59365,75,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.5066666666666667,Y2014Q4
3,2013,30,552224,4,60278,75,a,a,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",0.4,Y2013Q4
4,2015,37,725237,1,99431,76,c,c,620.0,9.0,2009.0,0,,,,0.4868421052631579,Y2015Q1
