Store,Month,Year,Open,Promo,Sales,PromoFrequencyRatio,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,StoreAssortment
1,7,2015,27,13,121266,0.48148148148148145,c,a,1270.0,9.0,2008.0,0,,,,ca
1,7,2014,27,13,122604,0.48148148148148145,c,a,1270.0,9.0,2008.0,0,,,,ca
1,7,2013,27,13,128032,0.48148148148148145,c,a,1270.0,9.0,2008.0,0,,,,ca
1,6,2015,25,12,110011,0.48,c,a,1270.0,9.0,2008.0,0,,,,ca
1,6,2014,23,11,107905,0.4782608695652174,c,a,1270.0,9.0,2008.0,0,,,,ca
1,6,2013,25,10,113411,0.4,c,a,1270.0,9.0,2008.0,0,,,,ca
1,5,2015,23,11,105220,0.4782608695652174,c,a,1270.0,9.0,2008.0,0,,,,ca
1,5,2014,25,12,117715,0.48,c,a,1270.0,9.0,2008.0,0,,,,ca
1,5,2013,23,13,118225,0.5652173913043478,c,a,1270.0,9.0,2008.0,0,,,,ca
1,4,2015,24,12,110655,0.5,c,a,1270.0,9.0,2008.0,0,,,,ca
1,4,2014,24,12,115292,0.5,c,a,1270.0,9.0,2008.0,0,,,,ca
1,4,2013,25,12,118009,0.48,c,a,1270.0,9.0,2008.0,0,,,,ca
1,3,2015,26,12,118917,0.46153846153846156,c,a,1270.0,9.0,2008.0,0,,,,ca
1,3,2014,26,11,116467,0.4230769230769231,c,a,1270.0,9.0,2008.0,0,,,,ca
1,3,2013,25,15,145169,0.6,c,a,1270.0,9.0,2008.0,0,,,,ca
1,2,2015,24,10,106635,0.4166666666666667,c,a,1270.0,9.0,2008.0,0,,,,ca
1,2,2014,24,10,110434,0.4166666666666667,c,a,1270.0,9.0,2008.0,0,,,,ca
1,2,2013,24,10,125271,0.4166666666666667,c,a,1270.0,9.0,2008.0,0,,,,ca
1,1,2015,26,15,119602,0.5769230769230769,c,a,1270.0,9.0,2008.0,0,,,,ca
1,1,2014,26,10,118814,0.38461538461538464,c,a,1270.0,9.0,2008.0,0,,,,ca
1,1,2013,26,10,128431,0.38461538461538464,c,a,1270.0,9.0,2008.0,0,,,,ca
1,12,2015,0,0,0,,c,a,1270.0,9.0,2008.0,0,,,,ca
1,12,2014,25,10,161026,0.4,c,a,1270.0,9.0,2008.0,0,,,,ca
1,12,2013,24,10,145168,0.4166666666666667,c,a,1270.0,9.0,2008.0,0,,,,ca
1,11,2015,0,0,0,,c,a,1270.0,9.0,2008.0,0,,,,ca
1,11,2014,25,15,130852,0.6,c,a,1270.0,9.0,2008.0,0,,,,ca
1,11,2013,26,10,127596,0.38461538461538464,c,a,1270.0,9.0,2008.0,0,,,,ca
1,10,2015,0,0,0,,c,a,1270.0,9.0,2008.0,0,,,,ca
1,10,2014,26,13,114897,0.5,c,a,1270.0,9.0,2008.0,0,,,,ca
1,10,2013,26,10,114641,0.38461538461538464,c,a,1270.0,9.0,2008.0,0,,,,ca
1,9,2015,0,0,0,,c,a,1270.0,9.0,2008.0,0,,,,ca
1,9,2014,26,12,106398,0.46153846153846156,c,a,1270.0,9.0,2008.0,0,,,,ca
1,9,2013,25,10,108867,0.4,c,a,1270.0,9.0,2008.0,0,,,,ca
1,8,2015,0,0,0,,c,a,1270.0,9.0,2008.0,0,,,,ca
1,8,2014,26,11,111004,0.4230769230769231,c,a,1270.0,9.0,2008.0,0,,,,ca
1,8,2013,27,12,118320,0.4444444444444444,c,a,1270.0,9.0,2008.0,0,,,,ca
2,7,2015,27,13,133765,0.48148148148148145,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,7,2014,27,13,132209,0.48148148148148145,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,7,2013,27,13,138778,0.48148148148148145,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,6,2015,26,12,132800,0.46153846153846156,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,6,2014,24,11,122758,0.4583333333333333,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,6,2013,25,10,115871,0.4,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,5,2015,23,11,115535,0.4782608695652174,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,5,2014,25,12,118629,0.48,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,5,2013,24,13,116379,0.5416666666666666,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,4,2015,24,12,121012,0.5,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,4,2014,24,12,122853,0.5,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,4,2013,25,12,116878,0.48,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,3,2015,26,12,134574,0.46153846153846156,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,3,2014,26,11,125031,0.4230769230769231,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,3,2013,25,15,130525,0.6,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,2,2015,24,10,114078,0.4166666666666667,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,2,2014,24,10,114449,0.4166666666666667,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,2,2013,24,10,111114,0.4166666666666667,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,1,2015,26,15,127498,0.5769230769230769,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,1,2014,26,10,122249,0.38461538461538464,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,1,2013,26,10,115171,0.38461538461538464,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,12,2015,0,0,0,,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,12,2014,25,10,154420,0.4,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,12,2013,24,10,150214,0.4166666666666667,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,11,2015,0,0,0,,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,11,2014,25,15,132657,0.6,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
2,11,2013,26,10,128628,0.38461538461538464,a,a,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",aa
